Source;Word;Lemma_spacy;Article;Forms;Wortart;Genus;URL;nur_im_Plural;Case_spacy;Number_spacy;Degree_spacy;PronType_spacy;VerbForm_spacy;BUCHMEIER_rank;BUCHMEIER_freq;LEEDS_rank;LEEDS_freq;LEIPZIG_rank;HERMIT_rank;HERMIT_freq
BUCHMEIER,HERMIT;riechst;riechst;;;Adverb;;;;;;;;;7960.0;174.0;;;;5250.0;1612.0
BUCHMEIER,HERMIT;riecht;riechen;;;Verb;;;;;Sing;;;Fin;2495.0;790.0;;;;1857.0;6050.0
BUCHMEIER,HERMIT,LEIPZIG;rief;rufen;;;Verb;;;;;Sing;;;Fin;2065.0;1010.0;;;2199.0;1619.0;7203.0
BUCHMEIER,HERMIT,LEIPZIG;riefen;rufen;;;Verb;;;;;Plur;;;Fin;7929.0;175.0;;;8267.0;7482.0;1031.0
BUCHMEIER,HERMIT;Riesen;Riese;;;Substantiv;mask.;;;Nom;Plur;;;;2481.0;796.0;;;;2316.0;4619.0
B1,BUCHMEIER,BW3,HERMIT,LEEDS;riesig;riesig;;Riese;Adjektiv;;https://www.dwds.de/wb/riesig;0.0;;;Pos;;;4796.0;344.0;1484.0;51.21;;4393.0;2049.0
BUCHMEIER,HERMIT,LEIPZIG;riesige;riesig;;;Adjektiv;;;;Nom;Plur;Pos;;;5066.0;320.0;;;4114.0;4167.0;2192.0
BUCHMEIER,HERMIT,LEIPZIG;riesigen;riesigen;;;Verb;;;;;Plur;;;Fin;4457.0;376.0;;;3272.0;4528.0;1963.0
BUCHMEIER,HERMIT;riesiger;Riesiger;;;Substantiv;mask.;;;Nom;Sing;;;;9503.0;138.0;;;;8556.0;861.0
BUCHMEIER,HERMIT;riesiges;riesig;;;Adjektiv;;;;Nom;Sing;Pos;;;7959.0;174.0;;;;8630.0;850.0
BUCHMEIER,HERMIT;Riker;Riker;;;Substantiv;;;;Nom;Sing;;;;6108.0;249.0;;;;8922.0;813.0
BUCHMEIER,HERMIT;Riley;Riley;;;Substantiv;;;;Nom;Sing;;;;3850.0;456.0;;;;4494.0;1988.0
A2;Rind;Rind;das;;Substantiv;neut.;https://www.dwds.de/wb/Rind;0.0;Nom;Sing;;;;;;;;;;
A2,BUCHMEIER,BW1,HERMIT,LEEDS,LEIPZIG;Ring;Ring;der;;Substantiv;mask.;https://www.dwds.de/wb/Ring;0.0;Nom;Sing;;;;1723.0;1241.0;2498.0;28.75;3923.0;1516.0;7839.0
