Source;Word;Lemma_spacy;Article;Forms;Wortart;Genus;URL;nur_im_Plural;Case_spacy;Number_spacy;Degree_spacy;PronType_spacy;VerbForm_spacy;BUCHMEIER_rank;BUCHMEIER_freq;LEEDS_rank;LEEDS_freq;LEIPZIG_rank;HERMIT_rank;HERMIT_freq
BUCHMEIER,HERMIT,LEIPZIG;erscheint;erscheinen;;;Verb;;;;;Sing;;;Fin;3706.0;479.0;;;1045.0;3197.0;3039.0
LEEDS,LEIPZIG;Erscheinung;Erscheinung;;;Substantiv;fem.;;;Nom;Sing;;;;;;2035.0;36.5;6029.0;;
BUCHMEIER,HERMIT,LEIPZIG;erschien;erscheinen;;;Verb;;;;;Sing;;;Fin;6307.0;238.0;;;2524.0;5509.0;1518.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;erschienen;erscheinen;;;Verb;;;;;;;;Part;6673.0;221.0;4952.0;11.77;1128.0;6559.0;1222.0
BUCHMEIER,HERMIT;Erschieß;Erschieß;;;Andere;;;;;;;;;7733.0;181.0;;;;6035.0;1362.0
BUCHMEIER,HERMIT,LEEDS;erschießen;erschießen;;;Verb;;;;;;;;Inf;2280.0;880.0;3979.0;15.84;;1867.0;6009.0
BUCHMEIER,HERMIT;erschießt;erschießen;;;Verb;;;;;Sing;;;Fin;6764.0;217.0;;;;5563.0;1500.0
BUCHMEIER,HERMIT;erschlagen;erschlagen;;;Verb;;;;;;;;Part;8524.0;159.0;;;;7912.0;955.0
LEEDS,LEIPZIG;erschließen;erschließen;;;Verb;;;;;Plur;;;Fin;;;3536.0;18.53;7529.0;;
BUCHMEIER,HERMIT,LEIPZIG;erschossen;erschießen;;;Verb;;;;;;;;Part;1816.0;1174.0;;;3097.0;1435.0;8431.0
B1,BUCHMEIER,BW3,HERMIT,LEEDS;erschrecken;erschrecken;;du erschrickst, ich erschrak, Schreck;Verb;;https://www.dwds.de/wb/erschrecken#1;0.0;;;;;Inf;5462.0;287.0;3982.0;15.83;;4536.0;1960.0
BUCHMEIER,HERMIT;erschreckt;erschreckt;;;Verb;;;;;;;;Part;3372.0;545.0;;;;2857.0;3503.0
BUCHMEIER,HERMIT;erschrocken;erschrocken;;;Verb;;;;;Plur;;;Fin;9686.0;135.0;;;;9619.0;738.0
B1,BUCHMEIER,HERMIT,LEIPZIG;erschöpft;erschöpfen;;;partizipiales Adjektiv;;https://www.dwds.de/wb/ersch%C3%B6pft;0.0;;Sing;;;Fin;4637.0;359.0;;;7259.0;3752.0;2487.0
HERMIT,LEIPZIG;erschüttert;erschüttern;;;Verb;;;;;;;;Part;;;;;8092.0;9532.0;746.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;ersetzen;ersetzen;;;Verb;;https://www.dwds.de/wb/ersetzen;0.0;;;;;Inf;5109.0;316.0;1226.0;61.43;3066.0;4000.0;2301.0
BUCHMEIER,HERMIT,LEIPZIG;ersetzt;ersetzen;;;Verb;;;;;;;;Part;5548.0;281.0;;;2507.0;5401.0;1557.0
BUCHMEIER,HERMIT,LEEDS;ersparen;ersparen;;;Verb;;;;;;;;Inf;8566.0;158.0;4408.0;13.81;;5944.0;1387.0
HERMIT,LEIPZIG;erspart;ersparen;;;Verb;;;;;;;;Part;;;;;7050.0;7714.0;989.0
A2,BUCHMEIER,BW1,HERMIT,LEEDS,LEIPZIG;erst;erst;;;Adverb;;https://www.dwds.de/wb/erst;0.0;;;;;;369.0;8033.0;65.0;1327.41;167.0;278.0;64092.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;erstaunlich;erstaunlich;;;Adverb;;;;;;Pos;;;3762.0;468.0;2489.0;28.89;5220.0;3141.0;3108.0
BUCHMEIER,HERMIT,LEIPZIG;erstaunt;erstaunt;;;Adverb;;;;;;Pos;;;8815.0;153.0;;;9843.0;7637.0;1002.0
A1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;erste;erster;;;Ordinalzahlwort;;https://www.dwds.de/wb/erste;0.0;Nom;Sing;Pos;;;640.0;4515.0;1700.0;44.15;252.0;493.0;33254.0
B1,HERMIT,LEEDS,LEIPZIG;erstellen;erstellen;;;Verb;;https://www.dwds.de/wb/erstellen;0.0;;Plur;;;Fin;;;1169.0;64.89;4325.0;8939.0;811.0
BUCHMEIER,LEIPZIG;erstellt;erstellen;;;Verb;;;;;;;;Part;8005.0;173.0;;;3046.0;;
LEEDS,LEIPZIG;Erstellung;Erstellung;;;Substantiv;fem.;;;Nom;Sing;;;;;;4298.0;14.26;6561.0;;
BUCHMEIER,HERMIT,LEIPZIG;ersten;erster;;;Verb;;;;;Plur;;;Fin;581.0;5076.0;;;131.0;540.0;29956.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Erstens;erstens;;;Adverb;;;;;;;;;4719.0;351.0;2548.0;28.04;7201.0;3389.0;2843.0
BUCHMEIER,HERMIT,LEIPZIG;erster;erster;;;Pronomen;mask.;;;Nom;Sing;;Ind;;2062.0;1012.0;;;1382.0;1404.0;8595.0
BUCHMEIER,HERMIT,LEIPZIG;erstes;erster;;;Adjektiv;;;;Nom;Sing;Pos;;;2509.0;786.0;;;2637.0;1758.0;6444.0
BUCHMEIER,HERMIT;ersticken;ersticken;;;Verb;;;;;;;;Inf;9075.0;147.0;;;;7232.0;1077.0
BUCHMEIER,HERMIT;erstickt;ersticken;;;Verb;;;;;;;;Part;9263.0;143.0;;;;7474.0;1033.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;erstmal;erstmal;;;Adverb;;;;;;;;;3303.0;560.0;3016.0;22.62;9618.0;3653.0;2576.0
LEEDS,LEIPZIG;erstmals;erstmals;;;Adverb;;;;;;;;;;;1136.0;66.51;590.0;;
BUCHMEIER,HERMIT;erstochen;erstechen;;;Verb;;;;;;;;Part;9848.0;132.0;;;;7615.0;1006.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;erteilen;erteilen;;;Verb;;;;;;;;Inf;7608.0;185.0;2321.0;31.47;8175.0;6712.0;1183.0
BUCHMEIER,HERMIT,LEIPZIG;erteilt;erteilen;;;Verb;;;;;Sing;;;Fin;7413.0;192.0;;;3320.0;6716.0;1183.0
LEEDS,LEIPZIG;Ertrag;Ertrag;;;Substantiv;mask.;;;Nom;Sing;;;;;;4823.0;12.2;6041.0;;
BUCHMEIER,HERMIT;ertrage;ertragen;;;Verb;;;;;Sing;;;Fin;7669.0;183.0;;;;5785.0;1433.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;ertragen;ertragen;;;Verb;;;;;;;;Inf;2773.0;698.0;3768.0;16.94;7278.0;2387.0;4448.0
BUCHMEIER,HERMIT;ertrinken;ertrinken;;;Verb;;;;;;;;Inf;9685.0;135.0;;;;7333.0;1058.0
BUCHMEIER,HERMIT;ertrunken;ertrunken;;;Verb;;;;;;;;Inf;8046.0;172.0;;;;7203.0;1081.0
BUCHMEIER,HERMIT;ertönt;ertönen;;;Verb;;;;;Sing;;;Fin;6997.0;207.0;;;;3039.0;3257.0
B1,BUCHMEIER,HERMIT,LEEDS;erwachsen;erwachsen;;;partizipiales Adjektiv;;https://www.dwds.de/wb/erwachsen#2;0.0;;;;;Inf;2454.0;804.0;2956.0;23.18;;2143.0;5037.0
A1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Erwachsene;erwachsene;;;Substantiv;fem., mask.;https://www.dwds.de/wb/Erwachsene;0.0;Nom;Plur;;;;5860.0;263.0;1870.0;39.76;4306.0;3855.0;2412.0
BUCHMEIER,HERMIT,LEIPZIG;Erwachsenen;erwachsene;;;Substantiv;;;;Nom;Plur;;;;6255.0;241.0;;;5293.0;5881.0;1404.0
BUCHMEIER,HERMIT;erwacht;erwachen;;;Verb;;;;;Sing;;;Fin;8653.0;156.0;;;;8501.0;869.0
BUCHMEIER,HERMIT,LEIPZIG;erwarte;erwarten;;;Verb;;;;;Sing;;;Fin;2972.0;643.0;;;5716.0;2229.0;4809.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;erwarten;erwarten;;;Verb;;https://www.dwds.de/wb/erwarten;0.0;;Plur;;;Fin;1432.0;1546.0;428.0;167.21;921.0;1164.0;10755.0
BUCHMEIER,HERMIT;erwartest;erwartest;;;Adverb;;;;;;Pos;;;6005.0;255.0;;;;4659.0;1897.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;erwartet;erwarten;;;Verb;;;;;;;;Part;994.0;2444.0;4947.0;11.78;482.0;845.0;15879.0
BUCHMEIER,HERMIT,LEIPZIG;erwartete;erwartet;;;Adjektiv;;;;Nom;Sing;Pos;;;9125.0;146.0;;;5760.0;8227.0;908.0
LEEDS,LEIPZIG;Erwartung;Erwartung;;;Substantiv;fem.;;;Nom;Sing;;;;;;1734.0;43.11;5942.0;;
BUCHMEIER,HERMIT,LEIPZIG;Erwartungen;Erwartung;;;Substantiv;fem.;;;Nom;Plur;;;;9124.0;146.0;;;1996.0;7429.0;1040.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;erweisen;erweisen;;;Verb;;;;;;;;Inf;7943.0;175.0;1235.0;60.92;5800.0;5727.0;1448.0
LEEDS,LEIPZIG;erweitern;erweitern;;;Verb;;;;;;;;Inf;;;1809.0;41.14;5403.0;;
LEEDS,LEIPZIG;erweitert;erweitern;;;Verb;;;;;Sing;;;Fin;;;3723.0;17.29;3040.0;;
LEEDS,LEIPZIG;Erweiterung;Erweiterung;;;Substantiv;fem.;;;Nom;Sing;;;;;;2356.0;30.85;2985.0;;
LEEDS,LEIPZIG;Erwerb;Erwerb;;;Substantiv;mask.;;;Acc;Sing;;;;;;4345.0;14.07;4588.0;;
LEEDS,LEIPZIG;erwerben;erwerben;;;Verb;;;;;;;;Inf;;;1737.0;43.03;4438.0;;
HERMIT,LEIPZIG;erwiesen;erweisen;;;Verb;;;;;;;;Part;;;;;3334.0;8764.0;832.0
BUCHMEIER,HERMIT,LEEDS;erwischen;erwischen;;;Verb;;;;;Plur;;;Fin;3781.0;465.0;4463.0;13.62;;3172.0;3067.0
BUCHMEIER,HERMIT,LEIPZIG;erwischt;erwischen;;;Verb;;;;;;;;Part;1308.0;1741.0;;;6703.0;1161.0;10767.0
BUCHMEIER,HERMIT,LEEDS;erwähnen;erwähnen;;;Verb;;;;;;;;Inf;3845.0;457.0;1105.0;68.93;;3670.0;2558.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;erwähnt;erwähnen;;;Verb;;;;;;;;Part;2256.0;892.0;2626.0;27.07;4470.0;1873.0;5988.0
BUCHMEIER,HERMIT;erwähnte;erwähnen;;;Verb;;;;;Sing;;;Fin;7834.0;178.0;;;;5177.0;1639.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;erzeugen;erzeugen;;;Verb;;;;;;;;Inf;7451.0;190.0;1314.0;57.31;3844.0;7466.0;1034.0
BUCHMEIER,HERMIT,LEIPZIG;erzeugt;erzeugen;;;Verb;;;;;;;;Part;8302.0;165.0;;;2284.0;7379.0;1050.0
B1,LEEDS;erziehen;erziehen;;;Verb;;https://www.dwds.de/wb/erziehen;0.0;;;;;Inf;;;4911.0;11.92;;;
B1,HERMIT,LEEDS,LEIPZIG;Erziehung;Erziehung;die;;Substantiv;fem.;https://www.dwds.de/wb/Erziehung;0.0;Nom;Sing;;;;;;1914.0;38.8;4970.0;7402.0;1046.0
LEEDS,LEIPZIG;erzielen;erzielen;;;Verb;;;;;;;;Inf;;;1351.0;55.98;3216.0;;
BUCHMEIER,HERMIT;erzogen;erziehen;;;Verb;;;;;;;;Part;7572.0;186.0;;;;6253.0;1304.0
BUCHMEIER,HERMIT;Erzähl;erzähl;;;Andere;;;;;;;;;1655.0;1297.0;;;;1075.0;11759.0
BUCHMEIER,HERMIT;erzähle;erzählen;;;Verb;;;;;Sing;;;Fin;2560.0;769.0;;;;1972.0;5600.0
A1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;erzählen;erzählen;;;Verb;;https://www.dwds.de/wb/erz%C3%A4hlen;0.0;;Plur;;;Fin;679.0;4212.0;509.0;143.84;2700.0;547.0;29301.0
HERMIT,LEIPZIG;Erzähler;Erzähler;;;Substantiv;mask.;;;Nom;Sing;;;;;;;;7538.0;9044.0;798.0
BUCHMEIER,HERMIT;erzählst;erzählst;;;Verb;;;;;Sing;;;Fin;2657.0;737.0;;;;2420.0;4363.0
BUCHMEIER,HERMIT,LEIPZIG;erzählt;erzählen;;;Verb;;;;;Sing;;;Fin;570.0;5222.0;;;804.0;484.0;33821.0
BUCHMEIER,HERMIT,LEIPZIG;erzählte;erzählen;;;Verb;;;;;Sing;;;Fin;2333.0;865.0;;;5236.0;1917.0;5842.0
B1,LEEDS,LEIPZIG;Erzählung;Erzählung;die;;Substantiv;fem.;https://www.dwds.de/wb/Erz%C3%A4hlung;0.0;Nom;Sing;;;;;;2608.0;27.31;3984.0;;
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;eröffnen;eröffnen;;;Verb;;https://www.dwds.de/wb/er%C3%B6ffnen;0.0;;;;;Inf;5625.0;276.0;1218.0;61.94;4286.0;4831.0;1804.0
BUCHMEIER,HERMIT,LEIPZIG;eröffnet;eröffnen;;;Verb;;;;;;;;Part;6833.0;214.0;;;1227.0;5151.0;1650.0
B1,HERMIT,LEEDS,LEIPZIG;Eröffnung;Eröffnung;die;;Substantiv;fem.;https://www.dwds.de/wb/Er%C3%B6ffnung;0.0;Nom;Sing;;;;;;3636.0;17.81;2075.0;9543.0;745.0
A1,BUCHMEIER,BW1,HERMIT,LEEDS,LEIPZIG;es;es;;;Personalpronomen;neut.;https://www.dwds.de/wb/es#1;0.0;Nom;Sing;;Prs;;9.0;261560.0;15.0;5993.22;23.0;8.0;2303025.0
BUCHMEIER,BW1,HERMIT;Esel;Esel;der;;Substantiv;mask.;;;;;;;;5248.0;304.0;;;;4455.0;2016.0
BUCHMEIER,HERMIT,LEEDS;esse;esse;;;Verb;;;;;Sing;;;Fin;3176.0;591.0;1239.0;60.84;;2595.0;3986.0
A1,BUCHMEIER,BW1,HERMIT,LEEDS,LEIPZIG;Essen;essen;das;du isst, ich aß;Substantiv;neut.;https://www.dwds.de/wb/Essen;0.0;Nom;Sing;;;;527.0;5651.0;1089.0;69.72;1685.0;266.0;67594.0
B1;Essig;essig;der;;Substantiv;mask.;https://www.dwds.de/wb/Essig;0.0;Nom;Sing;;;;;;;;;;
HERMIT,LEEDS,LEIPZIG;et;et;;;Andere;;;;;;;;;;;1285.0;58.85;9321.0;5956.0;1383.0
LEEDS,LEIPZIG;etablieren;etablieren;;;Verb;;;;;;;;Inf;;;3357.0;19.77;8140.0;;
B1,BUCHMEIER,HERMIT;Etage;Etage;die;;Substantiv;fem.;https://www.dwds.de/wb/Etage;0.0;Nom;Sing;;;;5597.0;278.0;;;;5097.0;1675.0
BUCHMEIER,HERMIT;Ethan;Ethan;;;Substantiv;;;;Nom;Sing;;;;3232.0;577.0;;;;4319.0;2092.0
LEEDS,LEIPZIG;Ethik;Ethik;;;Substantiv;fem.;;;Nom;Sing;;;;;;3841.0;16.58;9110.0;;
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;etwa;etwa;;;Adverb;;https://www.dwds.de/wb/etwa;0.0;;;;;;526.0;5667.0;177.0;385.88;133.0;483.0;33845.0
A2,BUCHMEIER,BW3,HERMIT,LEEDS,LEIPZIG;etwas;etwas;;;Indefinitpronomen;neut.;https://www.dwds.de/wb/etwas;0.0;;;;Ind;;92.0;42723.0;105.0;662.4;189.0;83.0;286968.0
LEEDS,LEIPZIG;EU;EU;;;Substantiv;fem.;;;Nom;Sing;;;;;;886.0;84.43;962.0;;
BUCHMEIER,BW1,HERMIT,LEIPZIG;euch;euch;;;Pronomen;;;;Dat;Plur;;Prs;;125.0;28691.0;;;4467.0;113.0;206931.0
A1,BUCHMEIER,BW3,HERMIT,LEEDS;euer;eu;;;Possessivpronomen;;https://www.dwds.de/wb/euer#1;0.0;;;Cmp;;;1093.0;2170.0;715.0;104.39;;569.0;27634.0
LEEDS,LEIPZIG;EUR;EUR;;;Substantiv;;;;Nom;Sing;;;;;;2095.0;35.5;9818.0;;
BUCHMEIER,HERMIT;eure;eure;;;Substantiv;mask.;;;Acc;Plur;;;;693.0;4070.0;;;;404.0;40647.0
BUCHMEIER,HERMIT;eurem;eurem;;;Adjektiv;;;;Nom;Sing;Sup;;;3020.0;631.0;;;;1864.0;6037.0
BUCHMEIER,HERMIT;euren;euren;;;Verb;;;;;;;;Inf;1785.0;1196.0;;;;1210.0;10288.0
BUCHMEIER,HERMIT;eurer;eurer;;;Pronomen;;;;Dat;Sing;;Prs;;2569.0;767.0;;;;1497.0;7961.0
BUCHMEIER,HERMIT;eures;eures;;;Adjektiv;;;;Nom;Sing;Pos;;;9461.0;139.0;;;;4570.0;1940.0
A1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Euro;Euro;der;;Substantiv;mask.;https://www.dwds.de/wb/Euro#1;0.0;Nom;Sing;;;;7333.0;195.0;306.0;231.84;558.0;3526.0;2690.0
A1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Europa;Europa;das;;Substantiv;neut.;https://www.dwds.de/wb/Europa;0.0;Nom;Sing;;;;3745.0;471.0;346.0;203.74;354.0;2622.0;3937.0
A1,LEEDS,LEIPZIG;Europäer;Europäer;der;;Substantiv;mask.;https://www.dwds.de/wb/Europ%C3%A4er;0.0;Nom;Plur;;;;;;3578.0;18.19;3409.0;;
A1,LEEDS;europäisch;europäisch;;;Adjektiv;;https://www.dwds.de/wb/europ%C3%A4isch;0.0;;;Pos;;;;;258.0;270.25;;;
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Eva;Eva;;;Substantiv;fem.;;;Nom;Sing;;;;4443.0;378.0;4781.0;12.36;5102.0;3122.0;3130.0
BUCHMEIER,HERMIT;evakuieren;evakuieren;;;Verb;;;;;;;;Inf;7876.0;177.0;;;;7648.0;1000.0
BUCHMEIER,HERMIT;Evan;Evan;;;Substantiv;mask.;;;Nom;Sing;;;;4914.0;334.0;;;;5365.0;1570.0
BUCHMEIER,HERMIT;Evelyn;Evelyn;;;Substantiv;;;;Nom;Sing;;;;5313.0;298.0;;;;7209.0;1080.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;eventuell;eventuell;;;Adjektiv;;https://www.dwds.de/wb/eventuell;0.0;;;Pos;;;7385.0;193.0;1886.0;39.52;4733.0;4761.0;1845.0
BUCHMEIER,LEEDS;Evolution;Evolution;;;Substantiv;fem.;;;Nom;Sing;;;;9123.0;146.0;4237.0;14.56;;;
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;ewig;ewig;;;Adjektiv;;https://www.dwds.de/wb/ewig;0.0;;;Pos;;;1486.0;1476.0;1594.0;47.37;5999.0;1227.0;10062.0
BUCHMEIER,HERMIT,LEIPZIG;ewige;ewig;;;Adjektiv;;;;Nom;Plur;Pos;;;8086.0;171.0;;;9855.0;5876.0;1406.0
BUCHMEIER,HERMIT,LEIPZIG;ewigen;ewigen;;;Verb;;;;;Plur;;;Fin;9372.0;141.0;;;8101.0;7378.0;1051.0
BUCHMEIER,HERMIT;Ewigkeit;Ewigkeit;;;Substantiv;fem.;;;Nom;Sing;;;;3922.0;446.0;;;;3199.0;3036.0
BUCHMEIER,HERMIT;Ex;Ex;;;Andere;;;;;;;;;5988.0;256.0;;;;3438.0;2783.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;exakt;exakt;;;Adverb;;;;;;Pos;;;8301.0;165.0;2831.0;24.56;4850.0;5237.0;1617.0
BUCHMEIER,HERMIT,LEEDS;Exemplar;Exemplar;;;Andere;;;;;;;;;9217.0;144.0;3908.0;16.25;;9284.0;772.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Existenz;Existenz;;;Substantiv;fem.;;;Nom;Sing;;;;4970.0;329.0;1580.0;47.76;2454.0;4433.0;2030.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;existieren;existieren;;;Verb;;;;;Plur;;;Fin;4033.0;432.0;1135.0;66.52;4375.0;3920.0;2362.0
BUCHMEIER,HERMIT,LEIPZIG;existiert;existieren;;;Verb;;;;;Sing;;;Fin;2661.0;735.0;;;3686.0;2414.0;4375.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Experiment;Experiment;;;Substantiv;neut.;;;Nom;Sing;;;;4636.0;359.0;2203.0;33.38;5618.0;4194.0;2167.0
BUCHMEIER,HERMIT,LEIPZIG;Experimente;Experiment;;;Substantiv;neut.;;;Nom;Plur;;;;7668.0;183.0;;;6714.0;6790.0;1165.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Experte;Experte;der;;Substantiv;mask.;https://www.dwds.de/wb/Experte;0.0;Nom;Sing;;;;6145.0;247.0;1581.0;47.76;6788.0;5333.0;1582.0
BUCHMEIER,HERMIT,LEIPZIG;Experten;Experte;;;Substantiv;mask.;;;Nom;Plur;;;;6626.0;223.0;;;914.0;6097.0;1344.0
BUCHMEIER,HERMIT;explodieren;explodier;;;Verb;;;;;Plur;;;Fin;5228.0;306.0;;;;5513.0;1516.0
BUCHMEIER,HERMIT;explodiert;explodieren;;;Verb;;;;;;;;Part;4235.0;404.0;;;;4428.0;2033.0
BUCHMEIER,HERMIT,LEIPZIG;Explosion;Explosion;;;Substantiv;fem.;;;Nom;Sing;;;;2643.0;740.0;;;4309.0;2717.0;3770.0
B1,LEEDS,LEIPZIG;Export;Export;der;;Substantiv;mask.;https://www.dwds.de/wb/Export;0.0;Nom;Sing;;;;;;3927.0;16.16;3482.0;;
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;extra;extra;;;Adverb;;https://www.dwds.de/wb/extra;0.0;;;;;;2619.0;747.0;4141.0;15.01;6386.0;2401.0;4409.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;extrem;extrem;;;Adjektiv;;https://www.dwds.de/wb/extrem;0.0;;;Pos;;;4146.0;416.0;1242.0;60.73;3109.0;3248.0;2988.0
BUCHMEIER,HERMIT;Exzellenz;Exzellenz;;;Substantiv;fem.;;;Nom;Sing;;;;4350.0;389.0;;;;3548.0;2668.0
BUCHMEIER,HERMIT;Ey;ey;;;Andere;;;;;;;;;6556.0;227.0;;;;4414.0;2042.0
BUCHMEIER,HERMIT;fabelhaft;Fabelhaft;;;Substantiv;fem.;;;Nom;Sing;;;;7973.0;174.0;;;;4824.0;1807.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Fabrik;Fabrik;die;;Substantiv;fem.;https://www.dwds.de/wb/Fabrik;0.0;Nom;Sing;;;;3459.0;529.0;3796.0;16.8;4820.0;3361.0;2864.0
A2,BW1,HERMIT,LEEDS,LEIPZIG;Fach;Fach;das;Fächer;Substantiv;neut.;https://www.dwds.de/wb/Fach#2;0.0;Nom;Sing;;;;;;2396.0;30.26;6630.0;8075.0;931.0
B1;Fachfrau;Fachfrau;die;;Substantiv;fem.;https://www.dwds.de/wb/Fachfrau;0.0;Nom;Sing;;;;;;;;;;
B1,LEEDS,LEIPZIG;Fachleute;Fachleute;;;Substantiv;;https://www.dwds.de/wb/Fachleute;1.0;Nom;Plur;;;;;;4011.0;15.7;3574.0;;
B1;Fachmann;Fachmann;der;;Substantiv;mask.;https://www.dwds.de/wb/Fachmann;0.0;Nom;Sing;;;;;;;;;;
BUCHMEIER,BW1,HERMIT;Faden;Fade;der;Fäden;Substantiv;mask.;;;Nom;Plur;;;;8849.0;152.0;;;;7200.0;1081.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Fahne;Fahne;;;Substantiv;fem.;;;Nom;Sing;;;;8608.0;157.0;4377.0;13.93;8759.0;7641.0;1001.0
BUCHMEIER,HERMIT;Fahr;Fahr;;;Substantiv;mask.;;;Nom;Sing;;;;1708.0;1252.0;;;;1006.0;12721.0
B1,LEIPZIG;Fahrbahn;Fahrbahn;die;;Substantiv;fem.;https://www.dwds.de/wb/Fahrbahn;0.0;Nom;Sing;;;;;;;;5838.0;;
BUCHMEIER,HERMIT;fahre;Fahre;;;Substantiv;fem.;;;Nom;Sing;;;;1627.0;1327.0;;;;1197.0;10409.0
A1,BUCHMEIER,BW3,HERMIT,LEEDS,LEIPZIG;fahren;fahren;;du fährst, ich fuhr;Verb;;https://www.dwds.de/wb/fahren;0.0;;;;;Inf;544.0;5480.0;267.0;263.09;1119.0;372.0;45060.0
A1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Fahrer;Fahrer;der;;Substantiv;mask.;https://www.dwds.de/wb/Fahrer;0.0;Nom;Plur;;;;2464.0;802.0;2925.0;23.49;1720.0;2183.0;4921.0
A1;Fahrkarte;Fahrkarte;die;;Substantiv;fem.;https://www.dwds.de/wb/Fahrkarte;0.0;Nom;Sing;;;;;;;;;;
A2;Fahrplan;Fahrplan;der;;Substantiv;mask.;https://www.dwds.de/wb/Fahrplan;0.0;Nom;Sing;;;;;;;;;;
A1,BUCHMEIER,BW3,HERMIT,LEEDS,LEIPZIG;Fahrrad;Fahrrad;das;;Substantiv;neut.;https://www.dwds.de/wb/Fahrrad;0.0;Nom;Sing;;;;4789.0;345.0;3857.0;16.48;5901.0;3640.0;2588.0
BUCHMEIER,HERMIT;Fahrstuhl;Fahrstuhl;;;Substantiv;mask.;;;Nom;Sing;;;;5698.0;272.0;;;;6245.0;1305.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Fahrt;Fahrt;;;Substantiv;fem.;;;Nom;Sing;;;;2511.0;785.0;1784.0;41.99;2185.0;1691.0;6833.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Fahrzeug;Fahrzeug;das;;Substantiv;neut.;https://www.dwds.de/wb/Fahrzeug;0.0;Nom;Sing;;;;4397.0;383.0;1686.0;44.38;3218.0;4459.0;2012.0
B1,BUCHMEIER,HERMIT,LEEDS;fair;fair;;;Adjektiv;;https://www.dwds.de/wb/fair;0.0;;;Pos;;;2141.0;962.0;3109.0;21.89;;1882.0;5977.0
BUCHMEIER,HERMIT;Faith;Faith;;;Substantiv;;;;Nom;Sing;;;;5068.0;320.0;;;;8813.0;825.0
BUCHMEIER,HERMIT,LEIPZIG;Fakten;Fakt;;;Substantiv;mask.;;;Nom;Plur;;;;4635.0;359.0;;;4283.0;3463.0;2752.0
B1,LEEDS,LEIPZIG;Faktor;Faktor;der;;Substantiv;mask.;https://www.dwds.de/wb/Faktor;0.0;Nom;Sing;;;;;;1375.0;54.86;5572.0;;
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Fall;Fall;der;;Substantiv;mask.;https://www.dwds.de/wb/Fall#2;0.0;Nom;Sing;;;;452.0;6640.0;143.0;490.83;297.0;349.0;49042.0
BUCHMEIER,HERMIT,LEIPZIG;Falle;Fall;;;Substantiv;mask.;;;Nom;Sing;;;;2014.0;1043.0;;;1903.0;1525.0;7786.0
A2,BUCHMEIER,BW1,HERMIT,LEEDS,LEIPZIG;fallen;fallen;;du fällst, ich fiel;Verb;;https://www.dwds.de/wb/fallen;0.0;;Plur;;;Fin;1063.0;2254.0;235.0;290.73;1149.0;905.0;14704.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;falls;falls;;;Konjunktion;;https://www.dwds.de/wb/falls;0.0;;;;;;1101.0;2153.0;957.0;78.96;1991.0;572.0;27447.0
A1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;falsch;falsch;;;Adjektiv;;https://www.dwds.de/wb/falsch;0.0;;;Pos;;;715.0;3886.0;492.0;146.88;1608.0;618.0;24701.0
BUCHMEIER,HERMIT,LEIPZIG;falsche;falsch;;;Adjektiv;;;;Nom;Sing;Pos;;;1721.0;1243.0;;;2948.0;1390.0;8704.0
