"Nr","Wort","Klasse","individual"
"701","das Licht","4","i"
"702","der Reifen","4","i"
"703","stoppen","4","i"
"704","rechts","4","i"
"705","links","4","i"
"706","die Polizei","4","i"
"707","der Polizist","4","i"
"708","die Kreuzung","4","i"
"709","die Mathematik","4","i"
"710","Englisch","4","i"
"711","der Sachunterricht","4","i"
"712","Deutschland","4","i"
"713","das Bundesland","4","i"
"714","die Lippe","4","i"
"715","der Fluss","4","i"
"716","Nordrhein-Westfalen","4","i"
"717","der Kegel","4","i"
"718","der Quader","4","i"
"719","die Kugel","4","i"
"720","die Pyramide","4","i"
"721","der Würfel","4","i"
"722","das Quadrat","4","i"
"723","das Rechteck","4","i"
"724","das Dreieck","4","i"
"725","der Kreis","4","i"
"726","das Viereck","4","i"
"727","der Zirkel","4","i"
"728","der Körper","4","i"
"729","der Hut","4","i"
"730","die Schuhe","4","i"
"731","die Jeans","4","i"
"732","das T-Shirt","4","i"
"7Details
"733","das Kleid","4","i"
"734","der Strumpf","4","i"
"735","der Socken","4","i"
"736","der Stiefel","4","i"
"737","die Brille","4","i"
"738","der Bart","4","i"
"739","das Stoppschild","4","i"
