Source;Word;Article;Forms;Wortart;Genus;URL;nur_im_Plural;BUCHMEIER_rank;BUCHMEIER_freq;LEEDS_rank;LEEDS_freq;LEIPZIG_rank;HERMIT_rank;HERMIT_freq
B1,BUCHMEIER,BW1,HERMIT,LEEDS,LEIPZIG;Loch;das;Löcher;Substantiv;neutr.;https://www.dwds.de/wb/Loch;0.0;1628.0;1325;2609.0;27.3;4487.0;1609.0;7238.0
BUCHMEIER,HERMIT;Locke;;;;;;;3249.0;572;;;;8439.0;877.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;locken;;;;;;;9067.0;147;3262.0;20.55;5840.0;5081.0;1686.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;locker;;;Adjektiv;;https://www.dwds.de/wb/locker;0.0;2922.0;658;3293.0;20.26;4732.0;2280.0;4705.0
BUCHMEIER,HERMIT;Logan;;;;;;;2921.0;658;;;;3996.0;2303.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Logik;;;;;;;8397.0;162;2635.0;26.94;5680.0;6738.0;1178.0
BUCHMEIER,HERMIT,LEEDS;logisch;;;;;;;7657.0;183;2470.0;29.14;;5133.0;1656.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Lohn;der;;Substantiv;mask.;https://www.dwds.de/wb/Lohn;0.0;5955.0;258;2019.0;36.68;4155.0;4791.0;1829.0
B1,LEEDS;lohnen;;;Verb;;https://www.dwds.de/wb/lohnen;0.0;;;2194.0;33.56;;;
BUCHMEIER,HERMIT,LEIPZIG;lohnt;;;;;;;6089.0;250;;;4890.0;4283.0;2118.0
BUCHMEIER,HERMIT;Lois;;;;;;;3274.0;566;;;;2072.0;5221.0
A1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Lokal;das;;Substantiv;neutr.;https://www.dwds.de/wb/Lokal;0.0;8988.0;149;1333.0;56.51;7713.0;6430.0;1254.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;London;;;;;;;2140.0;962;1448.0;52.35;846.0;1398.0;8643.0
BUCHMEIER,HERMIT;Long;;;;;;;6714.0;219;;;;4706.0;1875.0
BUCHMEIER,HERMIT;Look;;;;;;;9198.0;144;;;;7198.0;1082.0
BUCHMEIER,HERMIT;Lord;;;;;;;1921.0;1093;;;;1777.0;6360.0
B1,BUCHMEIER,FEHLER300,HERMIT,LEEDS,LEIPZIG;los;;;Adverb;;https://www.dwds.de/wb/los;0.0;130.0;26971;1087.0;69.91;2004.0;93.0;242543.0
BUCHMEIER,FEHLER200,FEHLER400,HERMIT;Loser;;;;;;;6526.0;228;;;;5488.0;1525.0
B1;losfahren;;;Verb;;https://www.dwds.de/wb/losfahren;0.0;;;;;;;
BUCHMEIER,HERMIT;losgehen;;;;;;;4928.0;332;;;;4705.0;1875.0
BUCHMEIER,HERMIT,LEO739,NRW422;loslassen;;;;;;;4920.0;333;;;;3021.0;3283.0
BUCHMEIER,HERMIT;loslegen;;;;;;;8554.0;158;;;;7061.0;1108.0
