Source;Word;Article;Forms;Wortart;Genus;URL;nur_im_Plural
B1;Begründung;die;;Substantiv;fem.;https://www.dwds.de/wb/Begr%C3%BCndung;0.0
B1;Behörde;die;;Substantiv;fem.;https://www.dwds.de/wb/Beh%C3%B6rde;0.0
A1,BW1;Bein;das;;Substantiv;neutr.;https://www.dwds.de/wb/Bein;0.0
A1;Beispiel;das;;Substantiv;neutr.;https://www.dwds.de/wb/Beispiel;0.0
B1;Beitrag;der;;Substantiv;mask.;https://www.dwds.de/wb/Beitrag;0.0
A1;Bekannte;;;Substantiv;fem., mask.;https://www.dwds.de/wb/Bekannte;0.0
B1;Beleg;der;;Substantiv;mask.;https://www.dwds.de/wb/Beleg;0.0
B1;Benzin;das;;Substantiv;neutr., mask.;https://www.dwds.de/wb/Benzin;0.0
B1;Beratung;die;;Substantiv;fem.;https://www.dwds.de/wb/Beratung;0.0
B1;Bereich;der;;Substantiv;mask., neutr.;https://www.dwds.de/wb/Bereich;0.0
A2,BW3;Berg;der;Berge, bergig;Substantiv;mask.;https://www.dwds.de/wb/Berg;0.0
B1;Bericht;der;;Substantiv;mask.;https://www.dwds.de/wb/Bericht;0.0
A1;Beruf;der;;Substantiv;mask.;https://www.dwds.de/wb/Beruf;0.0
A2;Bescheid;der;;Substantiv;mask.;https://www.dwds.de/wb/Bescheid;0.0
B1;Beschreibung;die;;Substantiv;fem.;https://www.dwds.de/wb/Beschreibung;0.0
B1;Beschäftigung;die;;Substantiv;fem.;https://www.dwds.de/wb/Besch%C3%A4ftigung;0.0
BW1;Besen;der;;Substantiv;;;
B1;Besprechung;die;;Substantiv;fem.;https://www.dwds.de/wb/Besprechung;0.0
B1;Besserung;die;;Substantiv;fem.;https://www.dwds.de/wb/Besserung;0.0
B1;Bestätigung;die;;Substantiv;fem.;https://www.dwds.de/wb/Best%C3%A4tigung;0.0
A2;Besuch;der;;Substantiv;mask.;https://www.dwds.de/wb/Besuch;0.0
B1;Betrag;der;;Substantiv;mask.;https://www.dwds.de/wb/Betrag;0.0
B1;Betreuer;der;;Substantiv;mask.;https://www.dwds.de/wb/Betreuer;0.0
