Source;Word;Lemma_spacy;Article;Forms;Wortart;Genus;URL;nur_im_Plural;Case_spacy;Number_spacy;Degree_spacy;PronType_spacy;VerbForm_spacy;IPA_phoneme;SAMPA_phoneme
B1;Patient;Patient;der;;Substantiv;mask.;https://www.dwds.de/wb/Patient;0.0;Nom;Sing;;;;patsjˈɛnt;"patsj""Ent"
B1;Patientin;Patientin;die;;Substantiv;fem.;https://www.dwds.de/wb/Patientin;0.0;Nom;Sing;;;;pˈɑtiːntˌɪn;"p""Ati:nt%In"
A1;Pause;Pause;die;;Substantiv;fem.;https://www.dwds.de/wb/Pause#1;0.0;Nom;Sing;;;;pˈaʊzə;"p""aUz@"
B1;Pech;Pech;das;;Substantiv;neut.;https://www.dwds.de/wb/Pech#2;0.0;Nom;Sing;;;;pˈɛç;"p""EC"
B1;Pension;Pension;die;;Substantiv;fem.;https://www.dwds.de/wb/Pension#1;0.0;Nom;Sing;;;;pɛnzjˈoːn;"pEnzj""o:n"
B1;Pensionist;Pensionist;der;;Substantiv;;https://www.dwds.de/wb/Pensionist;0.0;;Sing;;;Fin;pˌɛnzɪoːnˈɪst;"p%EnzIo:n""Ist"
B1;Pensionistin;Pensionistin;die;;Substantiv;fem.;https://www.dwds.de/wb/Pensionistin;0.0;Nom;Sing;;;;pˈɛnzɪˌoːnɪstˌɪn;"p""EnzI%o:nIst%In"
B1;Perron;Perron;der;;Substantiv;mask.;https://www.dwds.de/wb/Perron;0.0;Nom;Sing;;;;pˈɛroːn;"p""Ero:n"
A2;Person;Person;die;;Substantiv;fem.;https://www.dwds.de/wb/Person;0.0;Nom;Sing;;;;pɛɾzˈoːn;"pE4z""o:n"
B1;Personal;Personal;das;;Substantiv;neut.;https://www.dwds.de/wb/Personal;0.0;Nom;Sing;;;;pɛɾzoːnˈɑːl;"pE4zo:n""A:l"
B1;Personalie;Personalie;die;;Substantiv;fem.;https://www.dwds.de/wb/Personalie;0.0;Nom;Sing;;;;pɛɾzˌoːnalˈiː;"pE4z%o:nal""i:"
B1;Personenstand;Personenstand;der;;Substantiv;mask.;https://www.dwds.de/wb/Personenstand;0.0;Nom;Sing;;;;pɛɾzˈoːnənʃtˌant;"pE4z""o:n@nSt%ant"
B1;Pfanne;Pfann;die;;Substantiv;fem.;https://www.dwds.de/wb/Pfanne;0.0;Nom;Sing;;;;pfˈanə;"pf""an@"
B1;Pfeffer;Pfeffer;der;;Substantiv;mask.;https://www.dwds.de/wb/Pfeffer;0.0;Nom;Plur;;;;pfˈɛfɜ;"pf""Ef3"
BW1;Pfeil;Pfeil;der;;Substantiv;mask.;;;Nom;Sing;;;;pfˈaɪl;"pf""aIl"
A2,BW3;Pferd;Pferd;das;Pferde;Substantiv;neut.;https://www.dwds.de/wb/Pferd;0.0;Nom;Sing;;;;pfˈeːɾt;"pf""e:4t"
A2,BW3;Pflanze;Pflanze;die;pflanzen;Substantiv;fem.;https://www.dwds.de/wb/Pflanze;0.0;Nom;Sing;;;;pflˈantsə;"pfl""ants@"
B1;Pflaster;Pflaster;das;;Substantiv;neut.;https://www.dwds.de/wb/Pflaster;0.0;Nom;Sing;;;;pflˈastɜ;"pfl""ast3"
B1;Pflaume;Pflaume;die;;Substantiv;fem.;https://www.dwds.de/wb/Pflaume;0.0;Nom;Plur;;;;pflˈaʊmə;"pfl""aUm@"
B1;Pfleger;Pfleger;der;;Substantiv;mask.;https://www.dwds.de/wb/Pfleger;0.0;Nom;Sing;;;;pflˈeːɡɜ;"pfl""e:ɡ3"
B1;Pflegerin;Pflegerin;die;;Substantiv;fem.;https://www.dwds.de/wb/Pflegerin;0.0;Nom;Sing;;;;pflˈeːɡərˌɪn;"pfl""e:ɡ@r%In"
B1;Pflicht;Pflicht;die;;Substantiv;fem.;https://www.dwds.de/wb/Pflicht;0.0;Nom;Sing;;;;pflˈɪçt;"pfl""ICt"
BW1;Pfote;Pfot;die;;Substantiv;fem.;;;Nom;Plur;;;;pfˈoːtə;"pf""o:t@"
A1;Pfund;Pfund;das;;Substantiv;neut.;https://www.dwds.de/wb/Pfund;0.0;Nom;Sing;;;;pfˈʊnt;"pf""Unt"
BW3;Pfütze;Pfütze;die;;Substantiv;fem.;;;Nom;Plur;;;;pfˈʏtsə;"pf""Yts@"
B1;Phantasie;Phantasie;die;;Substantiv;fem.;https://www.dwds.de/wb/Phantasie;0.0;Nom;Sing;;;;fˌantazˈiː;"f%antaz""i:"
B1;Photograph;Photograph;der;;Substantiv;mask.;https://www.dwds.de/wb/Photograph;0.0;Nom;Sing;;;;fˌoːtoːɡɾˈɑːf;"f%o:to:ɡ4""A:f"
B1;Photographie;Photographie;die;;Substantiv;fem.;https://www.dwds.de/wb/Photographie;0.0;Nom;Sing;;;;fˌoːtoːɡɾafˈiː;"f%o:to:ɡ4af""i:"
B1;Picknick;Picknick;das;;Substantiv;neut.;https://www.dwds.de/wb/Picknick;0.0;Nom;Sing;;;;pˈɪknɪk;"p""IknIk"
B1;Pille;Pille;die;;Substantiv;fem.;https://www.dwds.de/wb/Pille;0.0;Nom;Sing;;;;pˈɪlə;"p""Il@"
B1;Pilz;Pilz;der;;Substantiv;mask.;https://www.dwds.de/wb/Pilz;0.0;Nom;Sing;;;;pˈɪlts;"p""Ilts"
BW1;Pinsel;Pinsel;der;;Substantiv;mask.;;;Nom;Sing;;;;pˈɪnzəl;"p""Inz@l"
A2,BW3;Pizza;Pizza;die;;Substantiv;fem.;https://www.dwds.de/wb/Pizza;0.0;Nom;Sing;;;;pˈɪtsɑː;"p""ItsA:"
